"Location","Code","Condition","Metric","Vaccination year","Birth year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2042","2042","0","0","0","0","0","0","0","0","0","0","240.939782140581","190.718545421187","140.474196407691","90.2039577721195","39.9078161742146","20.948995781118","15.7219613856953","10.4886180206318","5.24796762620106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2043","2043","0","0","0","0","0","0","0","0","0","0","239.975214485625","189.95301462431","139.90779406756","89.8395422210315","39.7454914907726","20.862848003917","15.6568159335758","10.4445002431556","5.22589334840016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2044","2044","0","0","0","0","0","0","0","0","0","0","238.88324086506","189.087429099148","139.268700823771","89.4270454925331","39.5624525541825","20.7663017668936","15.5841161335255","10.3956756624501","5.20097280415106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2045","2045","0","0","0","0","0","0","0","0","0","0","238.228518538245","188.568732647196","138.886092847092","89.1805886203457","39.4522094445296","20.7084352410598","15.5406900738948","10.3667074984971","5.18647998638744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2046","2046","0","0","0","0","0","0","0","0","0","0","236.94024946548","187.54832047093","138.133660837636","88.6962601047377","39.2361078065652","20.5934345059034","15.4543875231452","10.3091377705287","5.15767776138271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2047","2047","0","0","0","0","0","0","0","0","0","0","235.529178902503","186.429069969172","137.308657992528","88.1656403318702","39.0000065838472","20.4683441243637","15.3598984357016","10.2461070603948","5.12614339845365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2048","2048","0","0","0","0","0","0","0","0","0","0","234.053108899737","185.259043787988","136.444802182971","87.6103757416437","38.7534752295857","20.3381814545423","15.2618140052516","10.1801344372987","5.09313719186517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2049","2049","0","0","0","0","0","0","0","0","0","0","232.58973528081","184.099729444399","135.589672844148","87.0595571890052","38.5093741844911","20.2096893193084","15.1651906696162","10.1154132500781","5.06035153677306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2050","2050","0","0","0","0","0","0","0","0","0","0","231.692610889989","183.389263018134","135.065941566071","86.7226382746645","38.3593448813629","20.1309540588888","15.106108354306","10.0760044455233","5.04063683014062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","Rheumatic Heart Disease","Cases","2051","2051","0","0","0","0","0","0","0","0","0","0","230.512010303271","182.454247861188","134.376613389213","86.2790986702026","38.1616954836143","20.0259820301304","15.0273381760046","10.0234635363676","5.01435263751139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
